   -1   -1   -1   -1   39.0    1
    1   -1   -1   -1   31.8    1
   -1    1   -1   -1   47.0    1
    1    1   -1   -1   40.9    1
   -1   -1    1   -1   43.8    1
    1   -1    1   -1   29.3    1
   -1    1    1   -1   34.8    1
    1    1    1   -1   45.6    1
   -1   -1   -1    1   40.1    1
    1   -1   -1    1   42.0    1
   -1    1   -1    1   54.9    1
    1    1   -1    1   39.9    1
   -1   -1    1    1   43.1    1
    1   -1    1    1   30.1    1
   -1    1    1    1   35.6    1
    1    1    1    1   41.4    1
   -1   -1   -1   -1   43.2    2
    1   -1   -1   -1   43.7    2
   -1    1   -1   -1   51.4    2
    1    1   -1   -1   40.3    2
   -1   -1    1   -1   40.5    2
    1   -1    1   -1   52.9    2
   -1    1    1   -1   48.2    2
    1    1    1   -1   58.2    2
   -1   -1   -1    1   41.9    2
    1   -1   -1    1   40.5    2
   -1    1   -1    1   53.0    2
    1    1   -1    1   40.2    2
   -1   -1    1    1   40.2    2
    1   -1    1    1   39.9    2
   -1    1    1    1   53.7    2
    1    1    1    1   49.5    2
