1   1   1  1 24  1
1   1   1  2 25  1
1   1   1  3 41  1
1   1   2  1 18  1
1   1   2  2 33  1
1   1   2  3 35  1
1   2   1  1 22  1
1   2   1  2 26  1
1   2   1  3 37  1
1   2   2  1 23  1
1   2   2  2 30  1
1   2   2  3 34  1
2   1   1  1 26  1
2   1   1  2 30  1
2   1   1  3 39  1
2   1   2  1 19  1
2   1   2  2 31  1
2   1   2  3 26  1
2   2   1  1 30  1
2   2   1  2 31  1
2   2   1  3 39  1
2   2   2  1 22  1
2   2   2  2 32  1
2   2   2  3 38  1
3   1   1  1 18  1
3   1   1  2 35  1
3   1   1  3 34  1
3   1   2  1 21  1
3   1   2  2 20  1
3   1   2  3 44  1
3   2   1  1 23  1
3   2   1  2 31  1
3   2   1  3 38  1
3   2   2  1 18  1
3   2   2  2 31  1
3   2   2  3 35  1
1   1   1  1 22  2
1   1   1  2 28  2
1   1   1  3 39  2
1   1   2  1 18  2
1   1   2  2 27  2
1   1   2  3 41  2
1   2   1  1 19  2
1   2   1  2 31  2
1   2   1  3 43  2
1   2   2  1  7  2
1   2   2  2 26  2
1   2   2  3 30  2
2   1   1  1 19  2
2   1   1  2 31  2
2   1   1  3 42  2
2   1   2  1 19  2
2   1   2  2 31  2
2   1   2  3 35  2
2   2   1  1 26  2
2   2   1  2 34  2
2   2   1  3 42  2
2   2   2  1 20  2
2   2   2  2 26  2
2   2   2  3 22  2
3   1   1  1 21  2
3   1   1  2 32  2
3   1   1  3 37  2
3   1   2  1 19  2
3   1   2  2 29  2
3   1   2  3 31  2
3   2   1  1 22  2
3   2   1  2 26  2
3   2   1  3 41  2
3   2   2  1 19  2
3   2   2  2 24  2
3   2   2  3 41  2
