        1    4.24    0.09    
        2    4.18    0.12    
        3    4.26    0.14    
        4    4.21    0.24    
        5    4.22    0.15    
        6    4.18    0.28    
        7    4.23    0.06    
        8    4.19    0.15    
        9    4.21    0.09    
        10   4.18    0.15    
        11   4.20    0.21    
        12   4.25    0.20    
        13   4.25    0.17    
        14   4.21    0.07    
        15   4.19    0.16    
        16   4.23    0.16    
        17   4.27    0.19    
        18   4.22    0.20    
        19   4.20    0.12    
        20   4.19    0.16    
