   -1   -1   -1   -1   828    1
    1   -1   -1   -1   997    1
   -1    1   -1   -1   735    1
    1    1   -1   -1   807    1
   -1   -1    1   -1   994    1
    1   -1    1   -1  1069    1
   -1    1    1   -1   989    1
    1    1    1   -1   889    1
   -1   -1   -1    1   593    1
    1   -1   -1    1   773    1
   -1    1   -1    1   740    1
    1    1   -1    1   936    1
   -1   -1    1    1   748    1
    1   -1    1    1  1202    1
   -1    1    1    1  1103    1
    1    1    1    1   985    1
   -1   -1   -1   -1   797    2
    1   -1   -1   -1   948    2
   -1    1   -1   -1   776    2
    1    1   -1   -1  1003    2
   -1   -1    1   -1   949    2
    1   -1    1   -1  1094    2
   -1    1    1   -1  1215    2
    1    1    1   -1  1010    2
   -1   -1   -1    1   813    2
    1   -1   -1    1  1026    2
   -1    1   -1    1   922    2
    1    1   -1    1  1138    2
   -1   -1    1    1   970    2
    1   -1    1    1  1182    2
   -1    1    1    1   966    2
    1    1    1    1  1154    2
