  2.500 2.502 2.502 2.502 2.503 2.503 2.503 2.504 2.504
  2.504 2.504 2.504 2.504 2.504 2.504 2.504 2.504 2.504
  2.504 2.504 2.504 2.504 2.504 2.505 2.505 2.505 2.505
  2.505 2.505 2.505 2.505 2.505 2.505 2.505 2.505 2.505
  2.505 2.506 2.506 2.506 2.506 2.506 2.506 2.506 2.506
  2.506 2.506 2.506 2.506 2.506 2.506 2.506 2.506 2.507
  2.507 2.507 2.507 2.507 2.507 2.507 2.507 2.507 2.507
  2.507 2.508 2.508 2.508 2.508 2.508 2.508 2.508 2.508
  2.508 2.508 2.508 2.508 2.508 2.508 2.509 2.509 2.509
  2.509 2.509 2.509 2.509 2.509 2.509 2.509 2.509 2.509
  2.509 2.509 2.509 2.509 2.509 2.509 2.509 2.510 2.511
  2.511
