        1    0.152    0.004    
        2    0.147    0.006    
        3    0.153    0.004    
        4    0.153    0.002    
        5    0.151    0.003    
        6    0.148    0.002    
        7    0.149    0.006    
        8    0.144    0.001    
        9    0.149    0.003    
        10   0.152    0.005    
        11   0.149    0.003    
        12   0.153    0.004    
        13   0.150    0.005    
        14   0.152    0.001    
        15   0.149    0.003    
        16   0.146    0.002    
        17   0.154    0.004    
        18   0.152    0.005    
        19   0.151    0.002    
        20   0.149    0.004    
